fighter_id,fighter_f_name,fighter_l_name,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq
4106,Danny,Abbadi,180.34,155.0,180.34,1983-07-03,4,6,0,0
4105,Nariman,Abbasov,172.72,155.0,167.64,1994-02-01,28,4,0,0
4103,Hamdy,Abdelwahab,187.96,264.0,182.88,1993-01-22,5,0,0,1.0
4102,Shamil,Abdurakhimov,190.5,235.0,193.04,1981-09-02,20,8,0,0
4100,Daichi,Abe,180.34,170.0,180.34,1991-11-27,6,2,0,0
4099,Papy,Abedi,180.34,185.0,180.34,1978-06-30,10,4,0,0
4098,Ricardo,Abreu,180.34,185.0,180.34,1984-04-27,5,1,0,0
4097,Klidson,Abreu,182.88,205.0,187.96,1992-12-24,15,4,0,1.0
4095,Daniel,Acacio,172.72,180.0,172.72,1977-12-27,30,18,0,0
4094,John,Adajar,175.26,170.0,190.5,1991-06-22,6,2,0,0
4092,Juan,Adams,195.58,265.0,203.2,1992-01-16,5,3,0,0
4091,Anthony,Adams,185.42,185.0,193.04,1988-01-13,8,2,0,0
4090,Zarrukh,Adashev,165.1,125.0,165.1,1992-07-29,4,4,0,0
4089,Israel,Adesanya,193.04,185.0,203.2,1989-07-22,24,3,0,0
4088,Sam,Adkins,190.5,225.0,190.5,1965-04-26,7,20,2,0
4087,Nick,Agallar,172.72,155.0,172.72,1979-01-13,24,6,0,0
4086,Mariya,Agapova,167.64,125.0,172.72,1997-04-07,10,4,0,0
4084,Fabio,Aguiar,182.88,185.0,182.88,1988-02-10,17,1,0,0
4082,Jessica,Aguilar,160.02,115.0,160.02,1982-05-08,20,8,0,0
4081,Kevin,Aguilar,170.18,155.0,185.42,1988-09-07,17,5,0,0
4080,Jesus,Aguilar,162.56,125.0,157.48,1996-03-13,9,2,0,0
4079,Christian,Aguilera,175.26,170.0,182.88,1991-11-25,14,8,0,0
4078,Nick,Aguirre,175.26,135.0,187.96,1996-01-15,7,1,0,0
4076,Ashiek,Ajim,172.72,135.0,180.34,1994-06-19,6,2,0,0
4075,Hitomi,Akano,162.56,135.0,162.56,1974-07-27,18,10,0,0
4074,Omari,Akhmedov,182.88,185.0,185.42,1987-10-12,21,6,1,0
4073,Yoshihiro,Akiyama,177.8,170.0,190.5,1975-07-29,14,6,0,2.0
4072,Rostem,Akman,177.8,170.0,182.88,1991-12-19,6,2,0,0
4071,Razak,Al-Hassan,187.96,205.0,187.96,1982-05-14,13,5,0,0
4070,Abdul-Kareem,Al-Selwady,172.72,155.0,175.26,1995-04-10,15,3,0,0
4069,Mostapha,Al-Turk,187.96,245.0,195.58,1973-07-14,6,6,0,0
4068,Herdem,Alacabek,187.96,205.0,190.5,1991-06-07,5,1,0,0
4065,Amir,Albazi,165.1,125.0,172.72,1993-10-27,17,1,0,0
4063,John,Albert,172.72,135.0,172.72,1986-10-13,6,5,0,0
4062,Junior,Albini,190.5,264.0,187.96,1991-03-15,14,6,0,0
4060,Aleksandra,Albu,157.48000000000002,115.0,160.02,1990-07-14,3,2,0,0
4057,Iuri,Alcantara,175.26,135.0,180.34,1980-08-04,35,10,0,1.0
4056,Ildemar,Alcantara,187.96,185.0,198.12,1982-11-18,21,11,0,0
4055,Alfonso,Alcarez,160.02,145.0,160.02,1970-06-10,1,3,1,0
4054,Gilbert,Aldana,185.42,250.0,185.42,1977-08-25,6,2,0,0
4053,Irene,Aldana,175.26,135.0,172.72,1988-03-26,14,7,0,0
4052,Hector,Aldana,180.34,170.0,182.88,1988-08-17,4,3,0,0
4051,Jose,Alday,170.18,135.0,172.72,1991-09-14,14,6,1,0
4050,Jose,Aldo,170.18,135.0,177.8,1986-09-09,31,8,0,0
4049,JJ,Aldrich,165.1,125.0,170.18,1992-09-29,12,6,0,0
4048,Irina,Alekseeva,172.72,135.0,170.18,1990-06-27,5,1,0,0
4047,Talita,Alencar,154.94,115.0,147.32,1990-10-17,4,0,1,0
4046,Jim,Alers,175.26,145.0,180.34,1986-10-14,13,3,0,1.0
4045,John,Alessio,177.8,155.0,182.88,1979-07-05,35,17,0,2.0
4044,Houston,Alexander,182.88,205.0,182.88,1972-03-22,17,15,1,2.0
4043,Kenneth,Alexander,175.26,155.0,175.26,1977-09-25,7,6,0,1.0
4042,Lucas,Alexander,180.34,145.0,185.42,1995-07-28,8,3,0,0
4041,Marcio,Alexandre Junior,182.88,185.0,190.5,1989-05-05,17,4,0,0
4040,Olaf,Alfonso,187.96,170.0,187.96,1974-08-06,8,12,0,0
4039,Pablo,Alfonso,172.72,145.0,172.72,1983-05-09,9,7,0,0
4037,Bill,Algeo,182.88,145.0,185.42,1989-06-09,17,7,0,0
4035,Amir,Aliakbari,190.5,250.0,190.5,1984-06-10,10,1,0,0
4034,Sultan,Aliev,180.34,170.0,187.96,1984-09-17,15,3,0,0
4033,Nurullo,Aliev,177.8,155.0,182.88,2000-12-08,9,0,0,0
4032,Ikram,Aliskerov,182.88,185.0,193.04,1992-12-07,14,1,0,0
4031,Leon,Aliu,182.88,185.0,187.96,1989-07-14,10,2,0,0
4030,John,Allan,185.42,205.0,190.5,1993-02-22,13,7,0,1.0
4029,George,Allen,187.96,205.0,187.96,1967-01-13,13,19,2,0
4028,Arnold,Allen,172.72,145.0,177.8,1994-01-22,19,2,0,0
4027,Brendan,Allen,187.96,185.0,190.5,1995-12-28,22,5,0,0
4026,Daniel,Allen,182.88,155.0,190.5,1992-08-10,5,0,0,0
4025,Ben,Alloway,180.34,170.0,193.04,1981-02-19,18,8,0,0
4024,Assu,Almabayev,162.56,125.0,165.1,1994-01-25,18,2,0,0
4023,Ricardo,Almeida,182.88,170.0,187.96,1976-11-29,13,5,0,0
4022,Magno,Almeida,182.88,155.0,182.88,1985-06-06,10,3,0,1.0
4021,Thomas,Almeida,170.18,145.0,177.8,1991-07-31,22,5,0,0
4020,Ericka,Almeida,167.64,115.0,167.64,1989-03-05,7,3,0,0
4019,Estefani,Almeida,162.56,125.0,162.56,1988-10-17,7,3,0,0
4018,Jailton,Almeida,190.5,205.0,200.66,1991-06-26,19,2,0,0
4017,Lucas,Almeida,180.34,145.0,180.34,1991-01-31,14,2,0,0
4016,Cesar,Almeida,185.42,185.0,187.96,1988-03-23,4,0,0,0
4015,Mauricio,Alonso,187.96,170.0,187.96,1980-02-27,13,7,0,1.0
4014,Sarah,Alpar,162.56,135.0,160.02,1991-06-01,9,6,0,0
4013,Ali,AlQaisi,167.64,135.0,172.72,1990-09-23,8,5,0,0
4011,Victor,Altamirano,172.72,125.0,177.8,1991-01-23,12,3,0,0
4009,Patricia,Alujas,162.56,115.0,162.56,1996-05-08,9,3,0,0
4008,Sean,Alvarez,182.88,235.0,182.88,1971-07-14,4,3,0,0
4007,Eddie,Alvarez,175.26,155.0,175.26,1984-01-11,29,6,0,1.0
4006,Jaime,Alvarez,172.72,125.0,175.26,1988-03-08,6,1,0,0
4005,Joel,Alvarez,190.5,155.0,195.58,1993-03-02,20,3,0,0
4004,Thiago,Alves,175.26,170.0,177.8,1983-10-03,23,15,0,0
4002,Amilcar,Alves,182.88,170.0,182.88,1988-08-08,15,12,0,0
4001,Warlley,Alves,180.34,170.0,182.88,1991-01-04,15,6,0,0
4000,Rafael,Alves,172.72,155.0,172.72,1990-11-14,20,12,0,0
3999,Sam,Alvey,187.96,185.0,190.5,1986-05-06,33,18,1,1.0
3997,Adlan,Amagov,187.96,170.0,193.04,1986-10-30,14,2,1,0
3996,Maiara,Amanajas dos Santos,165.1,115.0,165.1,1987-07-11,7,3,0,0
3995,Rayanne,Amanda,157.48000000000002,115.0,157.48,1995-06-08,11,6,0,0
3993,Jimmy,Ambriz,187.96,315.0,187.96,1970-01-26,17,21,1,0
3991,Alen,Amedovski,177.8,185.0,187.96,1988-04-06,8,4,0,0
3990,Hyder,Amil,175.26,145.0,177.8,1990-05-28,8,0,0,0
3989,Makwan,Amirkhani,177.8,145.0,182.88,1988-11-08,17,9,0,0
3988,Jaqueline,Amorim,160.02,115.0,172.72,1995-06-24,7,1,0,0
3986,Karl,Amoussou,180.34,185.0,180.34,1985-11-21,27,7,2,0
3985,Eryk,Anders,185.42,185.0,190.5,1987-04-21,15,8,0,1.0
3984,Matt,Andersen,187.96,230.0,187.96,1971-05-29,14,8,1,0
3983,Andy,Anderson,167.64,240.0,167.64,1974-07-16,0,1,0,0
3981,Corey,Anderson,190.5,205.0,200.66,1989-09-22,14,5,0,0
3980,Derek,Anderson,182.88,155.0,182.88,1990-02-02,14,3,0,1.0
3979,Megan,Anderson,182.88,145.0,182.88,1990-02-11,11,5,0,0
3977,Alex,Andrade,180.34,200.0,180.34,1974-05-14,10,5,0,0
3976,Jessica,Andrade,154.94,115.0,157.48,1991-09-25,24,12,0,0
3975,Viscardi,Andrade,180.34,170.0,190.5,1984-03-08,19,6,0,0
3973,Juan,Andres Luna,170.18,125.0,182.88,1995-08-20,12,1,0,0
3971,Dylan,Andrews,185.42,185.0,187.96,1979-11-15,18,7,0,1.0
3970,Reese,Andy,182.88,205.0,182.88,1973-03-31,7,3,0,0
3968,Julius,Anglickas,190.5,205.0,190.5,1991-07-23,5,1,0,0
3967,Collin,Anglin,175.26,145.0,180.34,1993-02-20,8,3,0,0
3966,Chad,Anheliger,167.64,135.0,162.56,1986-12-01,12,6,0,0
3965,Yoji,Anjo,180.34,205.0,180.34,1967-03-28,0,5,1,0
3964,Magomed,Ankalaev,190.5,205.0,190.5,1992-06-02,18,1,1,0
3963,Gadzhimurad,Antigulov,180.34,205.0,177.8,1987-02-09,20,8,0,0
3962,Adam,Antolin,165.1,125.0,160.02,1982-02-28,12,3,0,0
3960,Azunna,Anyanwu,185.42,251.0,185.42,1981-08-05,14,5,0,0
3959,Shinsho,Anzai,170.18,170.0,177.8,1985-12-01,10,3,0,0
3958,Shinya,Aoki,180.34,154.0,180.34,1983-05-09,39,7,0,1.0
3956,Josh,Appelt,177.8,255.0,177.8,1983-06-19,15,7,0,0
3955,Erik,Apple,182.88,170.0,182.88,1977-08-26,10,3,0,0
3954,Kenji,Arai,177.8,145.0,177.8,1979-10-05,15,15,5,0
3953,Romie,Aram,177.8,170.0,177.8,1977-12-02,7,1,0,0
3952,Felipe,Arantes,172.72,135.0,185.42,1988-02-09,18,10,1,2.0
3951,Igor,Araujo,185.42,170.0,195.58,1980-12-06,25,9,0,1.0
3950,Viviane,Araujo,162.56,125.0,172.72,1986-11-21,11,5,0,0
3949,Julio,Arce,170.18,135.0,177.8,1989-10-27,18,6,0,0
3948,Art,Arciniega,172.72,145.0,172.72,1981-10-15,15,7,0,0
3945,Dan,Argueta,170.18,135.0,172.72,1993-08-13,9,2,0,1.0
3943,Hashem,Arkhagha,187.96,185.0,190.5,1989-09-11,6,1,0,0
3942,Andrei,Arlovski,190.5,240.0,195.58,1979-02-04,34,22,0,2.0
3941,Garrett,Armfield,167.64,135.0,177.8,1996-10-09,9,3,0,0
3939,Austin,Arnett,182.88,145.0,182.88,1991-10-22,16,6,0,0
3938,Ricardo,Arona,180.34,205.0,180.34,1978-07-17,14,5,0,0
3937,Eli,Aronov,177.8,185.0,182.88,1996-06-06,6,1,0,0
3936,Chalid,Arrab,180.34,205.0,180.34,1975-05-28,7,3,0,0
3935,Akbarh,Arreola,177.8,155.0,180.34,1983-01-14,23,11,1,0
3934,Matt,Arroyo,177.8,170.0,182.88,1982-09-01,3,3,0,0
3933,Antonio,Arroyo,190.5,185.0,185.42,1989-07-01,9,5,0,0
