fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,fight_stat_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fighter_f_name,fighter_l_name,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq
7218,664,Herb Dean,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,to Leg Injury,2,2:03,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,Las Vegas,Nevada,USA,14436,2976.0,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
6922,639,Marc Goddard,2902.0,2976.0,2902.0,3,F,Lightweight,M,Decision,Majority,3,5:00,UFC 286: Edwards vs. Usman 3,2023-03-18,London,England,United Kingdom,13843,2976.0,0.0,169.0,97.0,169.0,97.0,0.0,0.0,0.0,0.0,0:00,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
6585,611,Mark Smith,3185.0,2976.0,2976.0,5,F,Lightweight,M,KO/TKO,Punch to Head At Distance,5,0:18,UFC Fight Night: Dos Anjos vs. Fiziev,2022-07-09,Las Vegas,Nevada,USA,13169,2976.0,1.0,192.0,92.0,159.0,64.0,1.0,0.0,0.0,0.0,2:59,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
6279,586,Herb Dean,1042.0,2976.0,2976.0,3,F,Lightweight,M,KO/TKO,"Kick to Head At Distance
      Wheel kick",3,2:20,UFC Fight Night: Font vs. Aldo,2021-12-04,Las Vegas,Nevada,USA,12557,2976.0,0.0,123.0,66.0,123.0,66.0,0.0,0.0,0.0,0.0,0:09,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
6110,572,Jacob Montalvo,2728.0,2976.0,2976.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC 265: Lewis vs. Gane,2021-08-07,Houston,Texas,USA,12219,2976.0,0.0,223.0,104.0,223.0,104.0,0.0,0.0,0.0,0.0,0:08,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
5793,544,Chris Tognoni,1644.0,2976.0,2976.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,1,4:05,UFC 256: Figueiredo vs. Moreno,2020-12-12,Las Vegas,Nevada,USA,11585,2976.0,1.0,35.0,21.0,35.0,21.0,1.0,0.0,0.0,0.0,0:04,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
5578,523,Rich Mitchell,3229.0,2976.0,2976.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Abu Dhabi,Abu Dhabi,United Arab Emirates,11155,2976.0,0.0,128.0,82.0,124.0,78.0,2.0,1.0,0.0,0.0,2:49,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
5288,498,Kevin Sataki,152.0,2976.0,2976.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC Fight Night: Maia vs. Askren,2019-10-26,Kallang,Kallang,Singapore,10575,2976.0,0.0,138.0,73.0,131.0,66.0,1.0,1.0,0.0,0.0,1:34,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
4998,474,Vjacheslav Kiselev,1545.0,2976.0,1545.0,3,F,Lightweight,M,KO/TKO,Spinning Back Kick Head,1,1:26,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Saint Petersburg,Saint Petersburg,Russia,9995,2976.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0:00,Rafael,Fiziev,172.72,155.0,180.34,1993-03-05,12,3,0,0.0
7218,664,Herb Dean,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,to Leg Injury,2,2:03,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,Las Vegas,Nevada,USA,14435,2884.0,0.0,42.0,17.0,40.0,16.0,6.0,1.0,0.0,0.0,1:28,Mateusz,Gamrot,177.8,155.0,177.8,1990-12-11,23,2,0,1.0
